SMILES,receptor,docking score
[H]c1cc(-c2nc(N3CCC(c4cc([H])cc5cccnc45)(S(=O)(=O)c4ccc(F)cc4)C3)cc3c2[nH]c2ccccc23)c2ncccc2c1,5ht1b,-9.6
[H]c1cc(-c2cc3c([nH]c4ccccc43)c(-c3nc(=O)c(-c4cc([H])c5ncccc5c4)c[nH]3)n2)cc2cccnc12,5ht1b,-10.9
[H]C(=O)C(CC(C)C)N1CCC23c4c5ccc(O)c4OC2C(c2cc([H])c4ncccc4c2)CCC3(O)C1C5,5ht1b,-10.7
[H]c1cc(-c2cc(-c3cn(-c4c(C)nc5ccccn45)c4ccccc4c3=O)cc3cccnc23)cc2cccnc12,5ht1b,-14.4
[H]C(=O)CCC(SCCCN=c1cc[nH]c2cc(Cl)ccc12)C(=O)O,5ht1b,-7.6
[H]c1cc(-c2ccc(C(=N)NS(=O)(=O)c3ccccc3[N+](=O)[O-])cc2)cc2cccnc12,5ht1b,-10.8
[H]c1cc(-c2nc(-c3nc(C)cc(-c4cc([H])c5ncccc5c4)n3)cc3c2[nH]c2ccccc23)c2ncccc2c1,5ht1b,-14.1
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(OC(F)F)n3)c3ncccc3c2)cc2cccnc12,5ht1b,-13.5
[H]C1C(N)CC(N)C(c2cc3c([nH]c4ccccc43)c(-c3cc(-c4cc([H])c5ncccc5c4)c4ncccc4c3)n2)C1O,5ht1b,-13.9
[H]c1cc(-c2cc(-c3nc(C4CCCCC4O)cc4c3[nH]c3ccccc34)c3ncccc3c2)cc2cccnc12,5ht1b,-14.2
[H]C(=O)N=c1[nH]c2ccccc2n1-c1cc2c([nH]c3ccccc32)c(-c2cc(-c3cc([H])c4ncccc4c3)cc3cccnc23)n1,5ht1b,-8.4
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(SC)n3)c3ncccc3c2)cc2cccnc12,5ht1b,-13.1
[H]c1cc2c([nH]c3ccccc32)c(-n2cc(-c3cc([H])cc4cccnc34)c(=O)c3cc(F)c([H])c(-c4cc([H])c5ncccc5c4)c32)n1,5ht1b,-10.2
[H]c1cc(-c2cc(-c3nc(C4CCS(=O)(=O)CC4)cc4c3[nH]c3ccccc34)c3ncccc3c2)c2ncccc2c1,5ht1b,-14.7
[H]n1cc(-c2cc3c([nH]c4ccccc43)c(-c3cc(-c4cc([H])c5ncccc5c4)c4ncccc4c3)n2)c(C)n1,5ht1b,-15.3
[H]c1cc(-c2cc(-c3nc(-n4cccc4)cc4c3[nH]c3ccccc34)c3ncccc3c2)cc2cccnc12,5ht1b,-14.7
[H]CCC(=O)c1[nH]c2ccccc2c1-c1cc(-c2cc([H])cc3cccnc23)c2ncccc2c1,5ht1b,-12.4
[H]S(=O)(=O)c1n[nH]c(=NC(=O)c2nc(-c3cc(-c4cc([H])cc5cccnc45)cc4cccnc34)cc3c2[nH]c2ccccc23)s1,5ht1b,-13.7
[H]c1ccc(-c2cc3c([nH]c4ccccc43)c(-c3cc([H])cc4cccnc34)n2)c(-c2cc([H])cc3cccnc23)c1,5ht1b,-13.2
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(-c4cc([H])c5ncccc5c4)n3)n[nH]2)cc2cccnc12,5ht1b,-12.6
[H]c1cc(-c2cc3c([nH]c4ccccc43)c(NC(=S)SCCC(C)C)n2)cc2cccnc12,5ht1b,-10.2
[H]C1CC(F)CN1c1nc(-c2cc(-c3cc([H])cc4cccnc34)c3ncccc3c2)cc2c1[nH]c1ccccc12,5ht1b,-14.6
[H]c1cc(-c2cc(-c3nc(-c4cc(O)ccc4O)cc4c3[nH]c3ccccc34)cc3cccnc23)cc2cccnc12,5ht1b,-14.8
[H]c1cc(-c2nc(=N)[nH]cc2-c2cc3c([nH]c4ccccc43)c(-c3cc([H])c4ncccc4c3)n2)cc2cccnc12,5ht1b,-12.9
[H]c1cc(-c2nc(-c3coc4cc(-c5cc([H])c6ncccc6c5)ccc4c3=O)cc3c2[nH]c2ccccc23)c2ncccc2c1,5ht1b,-8.6
[H]c1cc(-c2cc(-c3nc(-c4nc5cc(Cl)ccc5o4)cc4c3[nH]c3ccccc34)c3ncccc3c2)cc2cccnc12,5ht1b,-12.6
[H]S(=O)(=O)c1ccc2[nH]cc(-c3nc(-c4cc(=NC(=O)c5cc([H])cc6cccnc56)[nH]o4)cc4c3[nH]c3ccccc34)c(=O)c2c1,5ht1b,-13.2
[H]S(=O)(=O)c1ccc2c(c1)N(CC(=O)N1CCC([H])(c3cc([H])c4ncccc4c3)OC1=O)C(=O)CO2,5ht1b,-11.4
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(-c4cc(C)ccc4C)n3)cc3cccnc23)c2ncccc2c1,5ht1b,-14.9
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(N4CCCNCC4)n3)cc3cccnc23)cc2cccnc12,5ht1b,-15
[H]c1cc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)N=c5[nH]cns5)cc4C#N)cc4c3[nH]c3ccccc34)c3ncccc3c2)cc2cccnc12,5ht1b,-11.9
CCC(CO)N1CCCCS1(=O)=O,5ht1b,-5.4
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(-c4c(N)n(C)c(=O)n(C)c4=O)n3)c3ncccc3c2)c2ncccc2c1,5ht1b,-14
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(-c4c(C)nn(C)c4C)n3)c3ncccc3c2)cc2cccnc12,5ht1b,-15.1
[H]CCCCCc1nc(-c2cc(-c3cc([H])c4ncccc4c3)c3ncccc3c2)cc2c1[nH]c1ccccc12,5ht1b,-12.7
[H]c1cc2c([nH]c3ccccc32)c(-c2nc3c(c(=O)n(C)c(=O)n3C)n2-c2cc(-c3cc([H])cc4cccnc34)c3ncccc3c2)n1,5ht1b,-12.7
[H]c1cc(-c2cc(-c3nc(-c4cn5cccnc5n4)cc4c3[nH]c3ccccc34)c3ncccc3c2)cc2cccnc12,5ht1b,-12.4
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(-c4cc([N+](=O)[O-])ccc4O)n3)cc3cccnc23)cc2cccnc12,5ht1b,-15.3
O=S(=O)(c1cccc(F)c1)N1CCc2ccccc21,5ht1b,-8.6
[H]S(=O)(=O)c1ccc(-c2nc(-c3cc(-c4cc([H])c5ncccc5c4)c4ncccc4c3)cc3c2[nH]c2ccccc23)c(C)c1,5ht1b,-15.8
[H]c1cc(-c2nc(-n3cc(-c4cc([H])c5ncccc5c4)c(=O)c4ccccc43)cc(=O)[nH]2)cc2cccnc12,5ht1b,-14.3
[H]c1nc(-c2nc(-c3cc([H])cc4cccnc34)c3c(n2)N(C(=O)CCC(=O)N=c2cccc[nH]2)CC3)cc2c1[nH]c1ccccc12,5ht1b,-10.9
[H]C(=O)C(CCCC[H])[N+]12CCC(CC1)C(N1C(=O)c3cccc4cccc(c34)C1=O)C2,5ht1b,-9.9
[H]c1cc(-c2cc3c([nH]c4ccccc43)c(-c3nnc(C)c4c(C)n(-c5cc([H])cc6cccnc56)nc34)n2)c2ncccc2c1,5ht1b,-14.3
[H]c1cc(-c2nc(-n3c(O)c(-c4cc([H])c5ncccc5c4)[nH]c3=O)cc3c2[nH]c2ccccc23)c2ncccc2c1,5ht1b,-11.5
[H]c1cc(-c2cc3c([nH]c4ccccc43)c(C3Nc4ccccc4C(=O)N3C(=O)CC)n2)cc2cccnc12,5ht1b,-13.1
[H]c1cc(-c2cc(-c3nc(-c4ccoc4)cc4c3[nH]c3ccccc34)cc3cccnc23)cc2cccnc12,5ht1b,-14.5
[H]c1cc(-c2ccc3c(cnn3-c3nc(-c4cc([H])cc5cccnc45)cc4c3[nH]c3ccccc34)c2)c2ncccc2c1,5ht1b,-14
[H]c1cc(-c2cc(-c3nc(-c4ccccc4O)cc4c3[nH]c3ccccc34)c3ncccc3c2)cc2cccnc12,5ht1b,-13.8
[H]n1c(-c2cc([H])c3ncccc3c2)nnc1-c1cc2c([nH]c3ccccc32)c(-c2cc([H])c3ncccc3c2)n1,5ht1b,-12.8
[H]c1cc(C2(F)CCN(C(=O)CCCC)CC2)cc2cccnc12,5ht1b,-8.7
[H]c1cc2c([nH]c3ccccc32)c(-c2nc(-c3cc([H])cc4cccnc34)nc3c2cnn3-c2cc([H])c3ncccc3c2)n1,5ht1b,-13.3
[H]c1cc(-c2cc(-c3nc(-c4ccn(C)n4)cc4c3[nH]c3ccccc34)c3ncccc3c2)cc2cccnc12,5ht1b,-14
[H]c1cc(-c2cc(-c3nc(C(F)F)cc4c3[nH]c3ccccc34)cc3cccnc23)cc2cccnc12,5ht1b,-14.3
[H]c1cc(-c2cc(F)c(-c3cc4c([nH]c5ccccc54)c(-c4cc([H])cc5cccnc45)n3)cc2[H])c2ncccc2c1,5ht1b,-13.4
[H]c1cc(-c2cc(-c3nc(-c4cc(C)cc(=N)[nH]4)cc4c3[nH]c3ccccc34)c3ncccc3c2)cc2cccnc12,5ht1b,-13.8
[H]c1nc(C2([H])CCC(c3cc(-c4cc([H])cc5cccnc45)c4ncccc4c3)CC2)cc2c1[nH]c1ccccc12,5ht1b,-13.4
[H]c1cc(-c2cc3c([nH]c4ccccc43)c(OCOC(C)C)n2)c2ncccc2c1,5ht1b,-10.8
[H]c1cc(-c2cc3c([nH]c4ccccc43)c(-c3ccc4cc(-c5cc([H])cc6cccnc56)c(=O)oc4c3C)n2)c2ncccc2c1,5ht1b,-12.9
[H]c1cc2c([nH]c3ccccc32)c(N2CCNC(=O)C2c2cc(-c3cc([H])cc4cccnc34)c3ncccc3c2)n1,5ht1b,-10.6
[H]c1cc(-c2cc3c([nH]c4ccccc43)c(-c3cc(-c4cc([H])c5ncccc5c4)cnc3Cl)n2)c2ncccc2c1,5ht1b,-13.3
[H]c1cc2c([nH]c3ccccc32)c(-c2cc(-c3cc(-c4cc([H])cc5cccnc45)c4ncccc4c3)c(C)cc2C)n1,5ht1b,-15.6
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(-c4cc([H])c5ncccc5c4)n3)nc3cc([H])ccc23)c2ncccc2c1,5ht1b,-15.9
[H]c1cc(-c2cc(-c3nc(-c4c[nH]c5ccc(Br)cc45)cc4c3[nH]c3ccccc34)cc3cccnc23)cc2cccnc12,5ht1b,-15.5
[H]C(=O)C(N1CCC23c4c5ccc(O)c4OC2C(c2cc([H])cc4cccnc24)CCC3(O)C1C5)C(C)(C)C,5ht1b,-11.2
[H]c1cc(C(C)(O)c2cc3c([nH]c4ccccc43)c(-c3cc([H])c4ncccc4c3)n2)c2ncccc2c1,5ht1b,-13.2
[H]C(C#N)Cc1nc(-c2cc(-c3cc([H])cc4cccnc34)c3ncccc3c2)cc2c1[nH]c1ccccc12,5ht1b,-13.5
[H]n1cc(-c2cccc(C)c2-c2cc(-c3cc([H])cc4cccnc34)cc3cccnc23)c(=O)c2ccccc21,5ht1b,-13.3
[H]c1cc2c([nH]c3ccccc32)c(-c2c(-c3cc([H])cc4cccnc34)c3cc(Cl)ccc3n2-c2cc([H])c3ncccc3c2)n1,5ht1b,-12.6
[H]c1nc(N(C(=S)NC(=O)C(N)CC(C)C)S(=O)(=O)c2ccc3ccccc3c2)cc2c1[nH]c1ccccc12,5ht1b,-10.4
[H]c1cc2c([nH]c3ccccc32)c(C2(c3cc([H])c4ncccc4c3)CC2c2cc([H])c3ncccc3c2)n1,5ht1b,-12.8
[H]c1cc(-c2cc(-c3nc(-c4coc5ccccc5c4=O)cc4c3[nH]c3ccccc34)cc3cccnc23)cc2cccnc12,5ht1b,-13.8
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(C4CCCOC4)n3)c3ncccc3c2)c2ncccc2c1,5ht1b,-14.6
[H]c1cc(-c2cc(-c3nc(-c4ccncc4F)cc4c3[nH]c3ccccc34)c3ncccc3c2)cc2cccnc12,5ht1b,-14.1
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(-c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)n3)cc3cccnc23)cc2cccnc12,5ht1b,-13.7
[H]c1nc(N2CC(C)C(c3cc([H])cc4cccnc34)Oc3ccc(-c4cc([H])cc5cccnc45)cc3C2=O)cc2c1[nH]c1ccccc12,5ht1b,-8.4
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c([N+]#[C-])n3)c3ncccc3c2)c2ncccc2c1,5ht1b,-13.8
[H]c1cc(-c2c([H])cccc2-c2nc(-c3cc([H])c4ncccc4c3)cc3c2[nH]c2ccccc23)c2ncccc2c1,5ht1b,-13.1
[H]c1cc(-c2nc3ccc(-c4cc5c([nH]c6ccccc65)c(-c5cc([H])c6ncccc6c5)n4)cc3o2)cc2cccnc12,5ht1b,-10
[H]c1cc(-c2nc(-n3c(O)c4ccccc4c3-c3cc([H])cc4cccnc34)cc3c2[nH]c2ccccc23)c2ncccc2c1,5ht1b,-13.6
[H]CN=c1ccc(C2Cc3cc(-c4cc([H])c5ncccc5c4)c(-c4cc([H])cc5cccnc45)cc3C2=O)c[nH]1,5ht1b,-11.9
[H]c1cc(-c2cc3c(cc2-c2nc(-c4cc([H])c5ncccc5c4)cc4c2[nH]c2ccccc24)OCO3)c2ncccc2c1,5ht1b,-14.9
[H]c1ccc2c(-c3nc(-c4cc([H])c5ncccc5c4)cc4c3[nH]c3ccccc34)nc(-c3cc([H])c4ncccc4c3)nc2n1,5ht1b,-11.7
[H]c1cc2c([nH]c3ccccc32)c(-c2cccc(-c3cc(-c4cc([H])c5ncccc5c4)cc4cccnc34)c2O)n1,5ht1b,-14.1
[H]c1cc(-c2cc(-c3nc(-c4ccc(O)c5[nH]c(=O)sc45)cc4c3[nH]c3ccccc34)c3ncccc3c2)c2ncccc2c1,5ht1b,-15.4
[H]S(=O)(=O)c1cc(Br)cc2c1N(c1cc3c([nH]c4ccccc43)c(-c3cc(-c4cc([H])c5ncccc5c4)cc4cccnc34)n1)CC2,5ht1b,-14.5
CCC(C)CN1C(c2cc(=NC3CC3)n3ncc(=Cc4[nH]c(=O)[nH]c4O)c3n2)CC2CC21,5ht1b,-9.4
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(-c4ccnc5[nH]ccc45)n3)c3ncccc3c2)cc2cccnc12,5ht1b,-15.6
[H]c1cc(-c2nc(-c3cc([H])c4ncccc4c3)cc3c2[nH]c2ccccc23)c2cc(-c3cc([H])c4ncccc4c3)oc2c1,5ht1b,-15
[H]c1cc2c([nH]c3ccccc32)c(-c2cc(-c3cc([H])cc4cccnc34)c(=O)n(-c3cc([H])c4ncccc4c3)c2C)n1,5ht1b,-12.7
[H]c1cc(-c2nc(-c3cc([H])c4ncccc4c3)cc3c2[nH]c2ccccc23)ccc1-c1cc([H])c2ncccc2c1,5ht1b,-9.8
[H]c1cc(-c2[nH]nc3cc(-c4cc5c([nH]c6ccccc65)c(-c5cc([H])c6ncccc6c5)n4)ccc23)c2ncccc2c1,5ht1b,-11.5
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(-c4cc[nH]n4)n3)cc3cccnc23)c2ncccc2c1,5ht1b,-14.7
[H]c1cc(-c2nc(-c3nn(-c4cc([H])cc5cccnc45)c4c3CS(=O)(=O)c3ccccc3-4)cc3c2[nH]c2ccccc23)c2ncccc2c1,5ht1b,-14.2
[H]c1cc(-c2cc(-c3nc(-c4c(Cl)cc(Cl)cc4Cl)cc4c3[nH]c3ccccc34)cc3cccnc23)c2ncccc2c1,5ht1b,-13.7
[H]c1cc(-c2cc(-c3nc(-c4cc([N+](=O)[O-])ccc4O)cc4c3[nH]c3ccccc34)c3ncccc3c2)cc2cccnc12,5ht1b,-14.3
[H]c1cc(-c2cc(N)c(Cl)cc2-c2nc(-c3cc([H])c4ncccc4c3)cc3c2[nH]c2ccccc23)c2ncccc2c1,5ht1b,-14.2
[H]c1cc2c([nH]c3ccccc32)c(-c2ccc(S(=O)(=O)Oc3cc(-c4cc([H])c5ncccc5c4)c4ncccc4c3)cc2)n1,5ht1b,-13.7
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(C4CCCCC4O)n3)c3ncccc3c2)c2ncccc2c1,5ht1b,-14.3
[H]C(C)Cc1cc2c([nH]c3ccccc32)c(-c2cc(-c3cc([H])c4ncccc4c3)cc3cccnc23)n1,5ht1b,-13.3
[H]c1cc(-c2cc(-c3nc(-c4nc(C)cc(C)n4)cc4c3[nH]c3ccccc34)c3ncccc3c2)cc2cccnc12,5ht1b,-12.7
[H]c1cc(-c2cc(-c3nc(N4C(=O)NC(C)(C)C4=O)cc4c3[nH]c3ccccc34)c3ncccc3c2)c2ncccc2c1,5ht1b,-15.1
[H]=C1CC([H])(c2cc3c([nH]c4ccccc43)c(-c3cc(-c4cc([H])c5ncccc5c4)c4ncccc4c3)n2)OC1=O,5ht1b,-14.5
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(SC)n3)c3ncccc3c2)cc2cccnc12,5ht1b,-13.1
[H]c1nc(N2C(=O)c3ccc(-c4cc(-c5cc([H])cc6cccnc56)c5ncccc5c4)cc3C2=O)cc2c1[nH]c1ccccc12,5ht1b,-12.5
[H]S(=O)(=O)c1cccc(-c2cc3c([nH]c4ccccc43)c(-c3cc(-c4cc([H])cc5cccnc45)c4ncccc4c3)n2)c1,5ht1b,-13.3
[H]c1cc(-c2cc(-c3nc(-c4cc[nH]c(=N)n4)cc4c3[nH]c3ccccc34)cc3cccnc23)c2ncccc2c1,5ht1b,-15
[H]C(=O)CCC(C(=O)O)N1CCC(F)(c2c([H])noc2C)CC1,5ht1b,-7.2
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(CCCCCC(=O)O)n3)cc3cccnc23)c2ncccc2c1,5ht1b,-13.7
[H]c1cc(-c2cc(-c3nc(-c4ccnc5[nH]ccc45)cc4c3[nH]c3ccccc34)cc3cccnc23)c2ncccc2c1,5ht1b,-15.4
[H]c1cc(-c2ccc3c(cc2=O)C(NC(=O)C(N)CC(C)C)CCc2cc([H])c([H])c([H])c2-3)c2ncccc2c1,5ht1b,-10.8
[H]c1cc(-c2cc(-c3[nH]c4ccccc4c3C(=O)[O-])c3ncccc3c2)cc2cccnc12,5ht1b,-12.8
[H]c1cc2c([nH]c3ccccc32)c(-c2[nH]c(C)c(-c3cc(-c4cc([H])c5ncccc5c4)cc4cccnc34)c2C)n1,5ht1b,-13.2
[H]c1cc(C(=O)N=c2[nH]c(-c3nc(-c4cc([H])c5ncccc5c4)cc4c3[nH]c3ccccc34)cs2)c2ncccc2c1,5ht1b,-11.7
[H]c1cc(-n2nc(-c3nc(-c4cc([H])c5ncccc5c4)cc4c3[nH]c3ccccc34)oc2=S)c2ncccc2c1,5ht1b,-12.9
[H]c1cc(-c2nc(-c3nc(-c4cc([H])c5ncccc5c4)cc4c3[nH]c3ccccc34)c3c(=N)[nH]ccn23)c2ncccc2c1,5ht1b,-15.4
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(C4CCS(=O)(=O)C4)n3)cc3cccnc23)cc2cccnc12,5ht1b,-15.3
[H]c1cc(C2CCC3(O)C4Cc5ccc(O)c6c5C3(CCN4CC(F)F)C2O6)c2ncccc2c1,5ht1b,-11
[H]S(=O)(=O)c1ccc2c(c1)N(CC(=O)NC(=NO)c1ccc(C)nc1-c1cc3c([nH]c4ccccc43)c(-c3cc([H])cc4cccnc34)n1)C(=O)CO2,5ht1b,-12.2
[H]c1cc(-c2cc(-c3nc(OCOC)cc4c3[nH]c3ccccc34)c3ncccc3c2)cc2cccnc12,5ht1b,-12.9
[H]c1cc(-c2cc(-c3cc4c([nH]c5ccccc54)c(-c4c(F)c(F)cc(F)c4F)n3)cc3cccnc23)cc2cccnc12,5ht1b,-16
[H]CC(=O)C(CC(=O)O)N1CCNC(c2nc(=O)c3ccccc3[nH]2)C1,5ht1b,-9
[H]c1cc2c([nH]c3ccccc32)c(-c2cc(-c3cc([H])cc4cccnc34)c(-c3cc([H])cc4cccnc34)cc2C)n1,5ht1b,-13.8
[H]c1cc(-n2c(=O)c(-c3cc4c([nH]c5ccccc54)c(-c4cc([H])c5ncccc5c4)n3)c(C)n2C)c2ncccc2c1,5ht1b,-12
[H]C(CCC)c1nc(-c2cc(-c3cc([H])cc4cccnc34)c3ncccc3c2)cc2c1[nH]c1ccccc12,5ht1b,-14
[H]C(=O)C(SCc1cc2c([nH]c3ccccc32)c(-c2cc([H])cc3cccnc23)n1)C(C)CC,5ht1b,-10
[H]c1cc(-c2cc(-c3nc(-c4ccc(F)c(Cl)c4)cc4c3[nH]c3ccccc34)cc3cccnc23)c2ncccc2c1,5ht1b,-14
[H]C[n+]1ccc(-c2nc(-c3cc(-c4cc([H])cc5cccnc45)c4ncccc4c3)cc3c2[nH]c2ccccc23)cc1,5ht1b,-14.2
[H]c1cc(-c2cc(-c3nc(-c4nc(C)cs4)cc4c3[nH]c3ccccc34)cc3cccnc23)c2ncccc2c1,5ht1b,-13.2
